Wall time,Step,Value
1748729915.006671,2,59.987300872802734
1748732216.1905882,3,52.402400970458984
1748734572.9726324,4,61.41419982910156
1748736913.1922536,5,59.99919891357422
1748739239.5994465,6,62.91659927368164
1748741556.1439357,7,63.490299224853516
1748743878.2727778,8,60.20220184326172
1748746167.9129257,9,57.81949996948242
1748748460.580002,10,58.680999755859375
1748750774.3786442,11,60.937400817871094
1748753064.7604764,12,63.50389862060547
1748755366.4290009,13,60.95199966430664
1748757678.3436701,14,60.821800231933594
1748759992.0224009,15,60.80189895629883
