,gpu_usage,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,elapsed_time
39,51.8,46.0,57.0,40.0,62.0,60.0,14.0,15.0,17.0,59.062,62.75,63.156,9404.0,3926.0,0.46799968261920993,39.11879253387451
40,49.3,53.0,23.0,21.0,35.0,30.0,53.0,16.0,71.0,58.906,62.562,63.187,9284.0,3846.0,0.4680136553583958,40.11859893798828
41,50.3,53.0,39.0,65.0,15.0,20.0,24.0,42.0,30.0,59.343,62.5,63.031,9043.0,3565.0,0.46832754296367785,41.147340536117554
42,34.8,23.0,15.0,100.0,18.0,22.0,27.0,18.0,24.0,59.062,62.187,63.062,8695.0,3290.0,0.46867985560172104,42.14051103591919
43,58.4,13.0,8.0,100.0,9.0,28.0,22.0,20.0,16.0,59.281,62.156,63.125,8534.0,3170.0,0.4686247131845769,43.15437984466553
44,56.5,20.0,14.0,100.0,14.0,15.0,24.0,19.0,20.0,59.0,62.562,62.875,8655.0,3210.0,0.46875895128604095,44.166229248046875
45,61.2,20.0,12.0,62.0,15.0,21.0,24.0,36.0,37.0,58.906,62.281,62.968,8494.0,2969.0,0.467646122415168,45.17164444923401
46,57.9,33.0,31.0,18.0,20.0,12.0,9.0,100.0,11.0,58.843,62.343,62.906,8856.0,3250.0,0.4678529688577585,46.16981840133667
47,54.4,29.0,25.0,21.0,19.0,9.0,21.0,100.0,8.0,58.937,62.437,63.0,8842.0,3290.0,0.46774967039306314,47.157166719436646
48,57.6,30.0,26.0,21.0,27.0,14.0,8.0,100.0,8.0,59.031,62.562,63.0,8882.0,3290.0,0.4680500842855589,48.18093395233154
49,44.0,29.0,36.0,20.0,20.0,18.0,16.0,100.0,13.0,59.0,62.343,63.031,8922.0,2969.0,0.46781105064020095,49.170897483825684
50,50.7,29.0,24.0,26.0,30.0,25.0,25.0,100.0,25.0,59.0,62.468,63.0,9123.0,3325.0,0.46814215465626563,50.165605545043945
51,44.4,35.0,37.0,28.0,25.0,15.0,25.0,100.0,21.0,59.0,62.781,63.125,9404.0,3645.0,0.4682132659181936,51.14944076538086
52,44.8,35.0,28.0,32.0,24.0,19.0,16.0,100.0,17.0,59.25,62.562,63.031,9163.0,3445.0,0.4685563465678461,52.16572713851929
53,44.9,33.0,27.0,22.0,25.0,9.0,10.0,100.0,7.0,59.187,62.375,63.031,8735.0,3129.0,0.4708793144574934,53.1821072101593
54,47.6,33.0,29.0,30.0,25.0,8.0,9.0,100.0,5.0,58.937,62.312,62.968,8802.0,3009.0,0.47499902689852097,54.17779302597046
55,48.6,20.0,34.0,24.0,20.0,11.0,8.0,100.0,15.0,58.937,62.343,63.062,8695.0,2768.0,0.47574432282616613,55.20188355445862
56,53.6,78.0,74.0,30.0,72.0,22.0,64.0,55.0,16.0,58.906,62.812,63.062,9324.0,3725.0,0.47396354711956973,56.168559074401855
57,56.1,100.0,100.0,26.0,100.0,44.0,100.0,36.0,30.0,59.156,62.937,63.312,9605.0,4126.0,0.47431461219161414,57.16665434837341
58,59.5,100.0,80.0,30.0,63.0,46.0,100.0,95.0,33.0,59.031,62.968,63.312,9686.0,4166.0,0.4746604374864639,58.16534781455994
59,61.2,100.0,100.0,20.0,35.0,38.0,100.0,100.0,21.0,59.312,62.75,63.25,9404.0,3926.0,0.4749967812797233,59.156933307647705
60,57.6,18.0,15.0,23.0,17.0,18.0,100.0,17.0,19.0,59.218,62.656,63.312,8882.0,3330.0,0.47750638504278153,60.198620557785034
61,55.3,27.0,22.0,30.0,22.0,19.0,100.0,8.0,7.0,59.312,62.156,63.218,8695.0,2849.0,0.4786189644004547,61.21590065956116
62,41.3,48.0,40.0,44.0,47.0,41.0,100.0,25.0,29.0,59.406,62.687,63.218,9605.0,3605.0,0.47551202603720144,62.20369839668274
63,44.8,46.0,45.0,45.0,40.0,36.0,23.0,46.0,31.0,59.25,62.375,63.156,8574.0,2889.0,0.49817555948344777,63.27597451210022
64,38.1,36.0,32.0,36.0,49.0,39.0,45.0,39.0,36.0,59.031,62.125,63.187,8332.0,2648.0,0.49428714577858596,64.20859789848328
65,98.6,21.0,25.0,81.0,20.0,37.0,32.0,31.0,27.0,59.343,62.562,63.218,9806.0,3645.0,0.5501898296423677,65.18937683105469
66,86.0,29.0,31.0,25.0,46.0,34.0,52.0,25.0,24.0,60.312,62.125,63.156,9927.0,4006.0,0.6116531646757176,66.2138340473175
67,51.8,24.0,74.0,22.0,27.0,44.0,30.0,28.0,24.0,60.375,62.75,63.281,13282.0,6818.0,0.6142413650966964,67.21894407272339
68,80.8,43.0,35.0,29.0,30.0,35.0,29.0,30.0,29.0,60.468,62.781,63.406,12519.0,5311.0,0.630176775111757,68.18926072120667
69,98.8,44.0,26.0,23.0,28.0,31.0,25.0,22.0,24.0,61.406,63.406,63.687,14783.0,5901.0,0.6300981784538365,69.20565819740295
70,86.1,38.0,38.0,35.0,30.0,26.0,15.0,17.0,17.0,61.218,63.406,63.812,14382.0,5502.0,0.6297034485718364,70.22961211204529
71,47.8,34.0,29.0,46.0,37.0,17.0,15.0,16.0,20.0,60.875,63.281,63.875,13982.0,5271.0,0.630360416826771,71.23123979568481
72,83.7,23.0,24.0,40.0,24.0,31.0,28.0,20.0,31.0,61.25,63.562,63.781,13942.0,5231.0,0.630271590127661,72.22426891326904
73,57.9,35.0,19.0,36.0,18.0,31.0,23.0,32.0,29.0,61.343,63.562,64.031,13862.0,5191.0,0.6298918310376456,73.20629334449768
74,98.8,41.0,48.0,37.0,31.0,30.0,27.0,29.0,42.0,62.156,63.937,64.125,15464.0,6409.0,0.6317040454074101,74.2322998046875
75,99.1,41.0,25.0,35.0,31.0,30.0,20.0,13.0,15.0,61.687,64.062,64.125,14222.0,5502.0,0.6318442718256682,75.23192501068115
76,55.8,44.0,40.0,28.0,21.0,34.0,20.0,29.0,19.0,62.187,64.093,64.281,14943.0,5940.0,0.6320116951826985,76.24298596382141
77,99.1,35.0,23.0,29.0,20.0,33.0,22.0,31.0,27.0,62.062,64.312,64.312,14783.0,5701.0,0.6318023536081105,77.22431349754333
