Wall time,Step,Value
1749624214.0068343,1,35.60850143432617
1749625724.3914216,2,63.50699996948242
1749627236.4035723,3,31.996200561523438
1749628743.414263,4,57.99660110473633
1749630251.2307198,5,66.23490142822266
1749631748.8885467,6,63.33420181274414
1749633263.951577,7,60.754798889160156
1749634763.824989,8,64.70500183105469
1749636263.5451882,9,60.48649978637695
1749637750.257551,10,65.52960205078125
1749639241.6499054,11,59.367698669433594
1749640732.5881765,12,67.90080261230469
1749642231.5875819,13,65.03900146484375
1749643722.7292948,14,61.82849884033203
1749645221.6909711,15,68.94750213623047
1749646714.7068663,16,65.052001953125
1749648214.7264462,17,67.28060150146484
1749649732.5183856,18,58.89360046386719
1749651251.400592,19,73.3561019897461
1749652759.48326,20,50.39720153808594
1749654264.009029,21,62.505401611328125
1749655770.1388028,22,69.79509735107422
1749657273.4719546,23,66.34510040283203
1749658772.5779583,24,64.87159729003906
1749660279.2877088,25,69.6093978881836
1749661787.9117157,26,72.77899932861328
1749663296.744512,27,73.26959991455078
1749664809.8086848,28,72.13809967041016
1749666394.4592395,29,75.74720001220703
1749667963.4065833,30,75.66619873046875
1749669479.1651435,31,77.65180206298828
1749670997.6108618,32,76.75189971923828
1749672527.9384654,33,75.80139923095703
1749674042.8018742,34,76.71959686279297
1749675574.0108242,35,76.52310180664062
1749677104.300519,36,76.61949920654297
1749678637.0130458,37,78.1635971069336
1749680159.958398,38,78.4177017211914
1749681684.3352046,39,78.07250213623047
1749683197.327129,40,78.59210205078125
1749684734.0663078,41,78.54540252685547
1749686245.9925406,42,78.43609619140625
1749687760.3953598,43,78.51349639892578
1749689273.3380623,44,78.51210021972656
1749690788.1320734,45,78.62300109863281
1749692305.6173415,46,78.61139678955078
1749693822.659593,47,78.51170349121094
1749695338.8670838,48,78.5145034790039
1749696855.4640572,49,78.4613037109375
1749698372.7145853,50,78.35810089111328
