Wall time,Step,Value
1749624214.0050964,1,49.01900100708008
1749625724.3898735,2,33.73749923706055
1749627236.4019547,3,29.186199188232422
1749628743.4126208,4,53.25550079345703
1749630251.229202,5,48.387901306152344
1749631748.8851247,6,63.092098236083984
1749633263.9481776,7,60.4833984375
1749634763.8215895,8,34.48809814453125
1749636263.5418708,9,25.623699188232422
1749637750.2559614,10,38.445098876953125
1749639241.646563,11,11.048600196838379
1749640732.5845664,12,33.18109893798828
1749642231.5841384,13,47.57270050048828
1749643722.72579,14,55.30070114135742
1749645221.6876335,15,43.59510040283203
1749646714.7036054,16,60.02920150756836
1749648214.7232146,17,52.23149871826172
1749649732.5166564,18,48.54499816894531
1749651251.3972797,19,39.586700439453125
1749652759.47971,20,46.810001373291016
1749654264.0072987,21,66.69049835205078
1749655770.1371522,22,63.848899841308594
1749657273.470448,23,51.70640182495117
1749658772.5764382,24,58.38610076904297
1749660279.2843635,25,63.313899993896484
1749661787.910222,26,63.49259948730469
1749663296.7429905,27,57.007301330566406
1749664809.807147,28,67.0999984741211
1749666394.457736,29,68.24759674072266
1749667963.404778,30,68.46649932861328
1749669479.160904,31,65.10569763183594
1749670997.6083076,32,70.60759735107422
1749672527.9349573,33,70.0271987915039
1749674042.800373,34,70.7020034790039
1749675574.0085618,35,71.27050018310547
1749677104.296196,36,72.97560119628906
1749678637.0098362,37,72.00769805908203
1749680159.9568477,38,70.29229736328125
1749681684.3334765,39,71.11900329589844
1749683197.3234694,40,70.81629943847656
1749684734.0629625,41,70.79810333251953
1749686245.9891644,42,71.44290161132812
1749687760.3921256,43,70.7291030883789
1749689273.3365304,44,74.05039978027344
1749690788.130579,45,70.90390014648438
1749692305.6158135,46,70.8595962524414
1749693822.657239,47,71.20490264892578
1749695338.8655934,48,71.57129669189453
1749696855.4630108,49,71.60479736328125
1749698372.71126,50,74.0353012084961
