Wall time,Step,Value
1749624214.0052276,1,34.58300018310547
1749625724.389996,2,23.560400009155273
1749627236.40208,3,19.24920082092285
1749628743.4127467,4,31.962099075317383
1749630251.2293315,5,31.551000595092773
1749631748.8854067,6,39.963600158691406
1749633263.9484484,7,39.2317008972168
1749634763.8218608,8,24.29490089416504
1749636263.542137,9,17.589000701904297
1749637750.2560837,10,24.486900329589844
1749639241.6468363,11,6.319799900054932
1749640732.584835,12,21.37310028076172
1749642231.584408,13,31.300899505615234
1749643722.7260518,14,34.39440155029297
1749645221.6879053,15,27.75480079650879
1749646714.7038615,16,37.22930145263672
1749648214.7234685,17,34.30699920654297
1749649732.5167875,18,30.387699127197266
1749651251.397552,19,28.16080093383789
1749652759.4799578,20,31.71310043334961
1749654264.0074515,21,47.917598724365234
1749655770.137275,22,40.538700103759766
1749657273.4705658,23,32.56449890136719
1749658772.5765567,24,39.066001892089844
1749660279.2846258,25,43.95399856567383
1749661787.9103403,26,46.85609817504883
1749663296.7431128,27,42.97159957885742
1749664809.8072674,28,49.601600646972656
1749666394.4578586,29,52.56660079956055
1749667963.4049134,30,51.26599884033203
1749669479.161226,31,50.36759948730469
1749670997.6091292,32,55.0791015625
1749672527.9352098,33,53.63560104370117
1749674042.8004932,34,53.35540008544922
1749675574.0085802,35,53.3577995300293
1749677104.2964518,36,54.310298919677734
1749678637.0100844,37,54.27690124511719
1749680159.9569895,38,53.19089889526367
1749681684.3336208,39,54.22090148925781
1749683197.323731,40,54.135799407958984
1749684734.063223,41,54.0078010559082
1749686245.9894352,42,54.922298431396484
1749687760.3923783,43,54.50680160522461
1749689273.3366516,44,55.795101165771484
1749690788.1307034,45,54.304298400878906
1749692305.6159322,46,54.59049987792969
1749693822.657412,47,54.779998779296875
1749695338.8657131,48,55.087398529052734
1749696855.4630282,49,55.3650016784668
1749698372.7115433,50,56.34659957885742
