Wall time,Step,Value
1749624214.0068517,1,32.61690139770508
1749625724.3915362,2,59.13679885864258
1749627236.403752,3,29.937700271606445
1749628743.414375,4,52.62889862060547
1749630251.230833,5,61.394100189208984
1749631748.8888066,6,58.4093017578125
1749633263.9518251,7,56.91350173950195
1749634763.82525,8,59.74769973754883
1749636263.5454452,9,55.41859817504883
1749637750.2576678,10,59.43239974975586
1749639241.6501462,11,54.816200256347656
1749640732.5893521,12,62.834598541259766
1749642231.587837,13,60.47560119628906
1749643722.729563,14,57.6879997253418
1749645221.6912103,15,64.59349822998047
1749646714.7072678,16,60.7150993347168
1749648214.7266765,17,63.0010986328125
1749649732.5185032,18,56.39419937133789
1749651251.400834,19,68.42759704589844
1749652759.4835422,20,47.93669891357422
1749654264.0093913,21,59.91450119018555
1749655770.1389127,22,66.54170227050781
1749657273.4720674,23,61.62670135498047
1749658772.5785158,24,62.014198303222656
1749660279.2879608,25,65.02359771728516
1749661787.9118252,26,70.0155029296875
1749663296.744625,27,70.22319793701172
1749664809.8087978,28,67.71029663085938
1749666394.4593537,29,72.90750122070312
1749667963.4067369,30,70.9395980834961
1749669479.16541,31,73.53810119628906
1749670997.611014,32,73.92569732666016
1749672527.938729,33,73.18350219726562
1749674042.8019843,34,73.86409759521484
1749675574.010856,35,73.7029037475586
1749677104.3005433,36,73.79930114746094
1749678637.0130644,37,73.99430084228516
1749680159.9585109,38,74.03500366210938
1749681684.3352213,39,73.90859985351562
1749683197.3274376,40,74.10430145263672
1749684734.0665696,41,74.07939910888672
1749686245.9928184,42,74.04180145263672
1749687760.395595,43,74.03839874267578
1749689273.338177,44,74.11039733886719
1749690788.1321857,45,74.12760162353516
1749692305.617453,46,74.15769958496094
1749693822.659756,47,74.08529663085938
1749695338.8671927,48,74.07620239257812
1749696855.4640734,49,74.03399658203125
1749698372.7148314,50,73.99240112304688
