,model,rango,RA_noche_s1,RA_noche_s2,RA_noche_s3,RA_noche,RA_sol intenso_s1,RA_sol intenso_s2,RA_sol intenso_s3,RA_sol intenso,RA_nieve_s1,RA_nieve_s2,RA_nieve_s3,RA_nieve,RA_niebla_s1,RA_niebla_s2,RA_niebla_s3,RA_niebla,RA_lluvia_s1,RA_lluvia_s2,RA_lluvia_s3,RA_lluvia,mRA
0,virconv,0-30,0.9968829240904277,1.0142670812579566,0.9867877832979371,0.9993125962154404,0.9273789893669265,0.7810583294939295,0.6003308052641855,0.7695893747083472,1.0288252727585374,1.0092681277627815,0.9793246432633874,1.0058060145949022,0.0016528180962814055,0.0009580846793452918,0.0019657824927213877,0.0015255617561160284,0.9959792876079254,1.0005111886338036,1.0022141438672223,0.9995682067029837,0.7515530948173605
1,virconv,30-50,0.8397420437415669,0.9792126935391209,0.7983699419247035,0.8724415597351305,0.7480229884279894,0.5562225827794398,0.3721005446802919,0.5587820386292404,0.3834595158492018,0.22705646782456745,0.24555843020255033,0.2853581379587732,0.0,0.0,0.0,0.0,0.3854724191529785,0.3424223419207432,0.42469140630204394,0.3841953891252552,0.38549877170478974
2,virconv,50-80,inf,inf,,,,,,,,,,,,,,,,,,,
3,virconv,0-80,0.9936152371889829,0.996638738569379,0.9854294202418064,0.9918944653333894,0.9080583378799101,0.759745968385822,0.5816060281436577,0.74980344480313,0.9945848469367388,0.9894810981126195,0.944763951626784,0.9762766322253807,0.0012537898394973323,0.000974139093578813,0.0025651119491226122,0.0015976802940662527,0.9767485297868586,0.9834155765418886,0.9667558779114059,0.9756399947467177,0.7363521931498885
4,mvxnet,0-30,0.9932403236617047,0.9289131422810499,0.9107882788919829,0.9443139149449125,0.8422208783920454,0.5755354159135918,0.3061479290610611,0.5746347411222328,1.0094033167070446,0.9989134823151141,0.9429686731130491,0.9837618240450693,0.015239412619636203,0.048204936073216076,0.04631304890976439,0.03658579920087222,1.0291672256959514,0.9689655252464466,0.9557622294489475,0.9846316601304484,0.7373232995803256
5,mvxnet,30-50,0.83585028573179,1.4493655415919608,1.117472304147329,1.1342293771570267,1.1482593751621228,1.2159748048372956,0.8880641117752079,1.0840994305915421,0.6942129243030031,0.7913780908557287,0.4563851109239636,0.6473253753608985,0.09478805060486517,0.06285942040532543,0.03314528899031648,0.0635975866668357,0.725181676087361,0.8439651890542326,0.80552947815717,0.7915587810995879,0.6591777800710872
6,mvxnet,50-80,1.1140702402491243,2.1546441350891543,1.4677244678222756,1.5788129477201849,6.855962159638954,17.060555005763515,22.790876313255357,15.569131159552606,0.0,0.0,0.0,0.0,4.353055460834304,4.409693287935796,8.338087112859917,5.700278620543339,0.0,0.0,0.0,0.0,1.819772892065881
7,mvxnet,0-80,0.9750337961884888,0.9306037786883721,0.8893040782564147,0.9316472177110918,0.8402510941811131,0.5753155327158804,0.305148455935147,0.5735716942773802,0.9845590796870389,0.9785466742927937,0.9111376051821714,0.958081119720668,0.01396997436882548,0.044256263574552764,0.04225690316489438,0.03349438036942421,1.0072825190623884,0.9348786549192251,0.9366605978054869,0.9596072572623667,0.7207074937658877
8,bevfusion,0-30,0.9999744881762229,1.0000001422429419,0.9999666170938261,0.9999804158376636,0.9561030289073591,0.8947505660086326,0.8305346533233702,0.8937960827464538,0.9905131014382443,1.003133857841575,0.991819880446741,0.9951556132421867,0.002023884617992701,0.007415609138691268,0.007766725322074228,0.005735406359586065,0.9952964025533859,0.9850824163709371,0.9936773650647526,0.9913520613296919,0.7480558741922821
9,bevfusion,30-50,0.9996483299114353,1.000013760583216,1.0007168545914567,1.0001263150287025,0.8777498124455096,0.7997848099746644,0.7369928924825611,0.8048425049675784,0.6892411720534865,0.46708540934652565,0.2701728823208677,0.4754998212402933,0.07369111073843637,0.06454662022439088,0.0601104262452694,0.0661160524026989,0.6476557163492577,0.5476943789178776,0.40402281114835037,0.5331243021384953,0.5187166227025475
10,bevfusion,50-80,1.0000483810473784,1.0000000547891505,1.0000539142444962,1.0000341166936753,1.0668043534453777,0.6035941125522033,0.06539879336871433,0.5785990864554318,0.0,0.0,0.0,0.0,0.008528448041770064,0.0,0.0015609759876788053,0.0033631413431496233,0.0,0.0,0.0,0.0,0.2508493145092062
11,bevfusion,0-80,1.0001212035681066,0.9999979554740178,0.9999744070388493,1.000031188693658,0.9546843839539345,0.8918752874618218,0.8257666998167695,0.8907754570775087,0.9858867557231275,0.9956826907973505,0.9828180151852832,0.9881291539019204,0.002808876719341909,0.006192186707097691,0.0061868332918506765,0.005062632239430092,0.986963763758145,0.9798550062975762,0.985271476390883,0.984030082148868,0.7443132642459691
